role,date,location,link,source,keywords_matched
"Android Engineer, Link",2025-12-10,Toronto,https://stripe.com/jobs/listing/android-engineer-link/7311137,Stripe,
"Analytics Lead, Privy",2025-12-10,New York,https://stripe.com/jobs/listing/analytics-lead-privy/7195991,Stripe,
Alliances & Channels Sales Strategy & Operations Business Partner,2025-12-10,Remote in United States,https://stripe.com/jobs/listing/alliances-channels-sales-strategy-operations-business-partner/7396432,Stripe,
Administrative Coordinator,2025-12-10,Mexico City,https://stripe.com/jobs/listing/administrative-coordinator/7434713,Stripe,
Accounts Receivable Manager,2025-12-10,Bengaluru,https://stripe.com/jobs/listing/accounts-receivable-manager/7118945,Stripe,
Accounting Analyst - Revenue,2025-12-10,Bengaluru,https://stripe.com/jobs/listing/accounting-analyst-revenue/7089532,Stripe,
Accounting Analyst - Product Accounting - MaaS Accounting,2025-12-10,Bengaluru,https://stripe.com/jobs/listing/accounting-analyst-product-accounting-maas-accounting/7351467,Stripe,
Accounting - Legal Entity Controller,2025-12-10,Bengaluru,https://stripe.com/jobs/listing/accounting-legal-entity-controller/7358785,Stripe,
"Account Executive, Startups/ SMB, Grower, New Zealand",2025-12-10,Remote in New Zealand,https://stripe.com/jobs/listing/account-executive-startups-smb-grower-new-zealand/7313132,Stripe,
"Account Executive, Startup SaaS Platforms - German Speaking",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-startup-saas-platforms-german-speaking/7365228,Stripe,
"Account Executive, Startup Platforms (Existing Business)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-startup-platforms-existing-business/7339700,Stripe,
"Account Executive, SMB Platforms (New Business)",2025-12-10,Chicago,https://stripe.com/jobs/listing/account-executive-smb-platforms-new-business/7339170,Stripe,
"Account Executive, SMB (New Business)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-smb-new-business/6735940,Stripe,
"Account Executive, SMB (New Business)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-smb-new-business/7277406,Stripe,
"Account Executive, SMB (French Speaking)",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-smb-french-speaking/7242090,Stripe,
"Account Executive, Product Sales, Radar (NYC)",2025-12-10,Chicago,https://stripe.com/jobs/listing/account-executive-product-sales-radar-nyc/7215691,Stripe,
"Account Executive, Product Sales, Optimized Checkout",2025-12-10,Remote in United States,https://stripe.com/jobs/listing/account-executive-product-sales-optimized-checkout/7455982,Stripe,
"Account Executive, Product Sales - Radar",2025-12-10,Singapore,https://stripe.com/jobs/listing/account-executive-product-sales-radar/7247667,Stripe,
"Account Executive, Product Sales (Radar)",2025-12-10,Chicago,https://stripe.com/jobs/listing/account-executive-product-sales-radar/7302534,Stripe,
"Account Executive, Product - Disputes",2025-12-10,Remote in United States,https://stripe.com/jobs/listing/account-executive-product-disputes/7416016,Stripe,
"Account Executive, Product (Crypto Sales)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-product-crypto-sales/7413140,Stripe,
"Account Executive, Platforms, New Zealand",2025-12-10,Remote in New Zealand,https://stripe.com/jobs/listing/account-executive-platforms-new-zealand/7334719,Stripe,
"Account Executive, Platforms (Spanish - Speaking)",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-platforms-spanish-speaking/7418984,Stripe,
"Account Executive, Platforms (New Business)",2025-12-10,Chicago,https://stripe.com/jobs/listing/account-executive-platforms-new-business/7218796,Stripe,
"Account Executive, Platforms (Grower)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-platforms-grower/7271674,Stripe,
"Account Executive, Platforms (Grower)",2025-12-10,Paris,https://stripe.com/jobs/listing/account-executive-platforms-grower/7446841,Stripe,
"Account Executive, Platforms (French Speaking)",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-platforms-french-speaking/7353623,Stripe,
"Account Executive, Platforms (Existing Business)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-platforms-existing-business/6395069,Stripe,
"Account Executive, Platforms",2025-12-10,Singapore,https://stripe.com/jobs/listing/account-executive-platforms/7294290,Stripe,
"Account Executive, Nordics - Startups",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-nordics-startups/7423973,Stripe,
"Account Executive, Iberia",2025-12-10,Madrid,https://stripe.com/jobs/listing/account-executive-iberia/7394627,Stripe,
"Account Executive, Funded Startups (New Business)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-funded-startups-new-business/7210530,Stripe,
"Account Executive, Funded Startups (Existing Business)",2025-12-10,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-funded-startups-existing-business/7362629,Stripe,
"Account Executive, Funded Startups",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-funded-startups/7396862,Stripe,
"Account Executive, Funded Startups",2025-12-10,London,https://stripe.com/jobs/listing/account-executive-funded-startups/7391719,Stripe,
"Account Executive, Existing Business - Startups",2025-12-10,Sydney,https://stripe.com/jobs/listing/account-executive-existing-business-startups/7297049,Stripe,
"Account Executive, Enterprise Platforms, Hunter",2025-12-10,Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-platforms-hunter/6989261,Stripe,
"Account Executive, Enterprise Japan",2025-12-10,Tokyo,https://stripe.com/jobs/listing/account-executive-enterprise-japan/6433160,Stripe,
"Account Executive, Enterprise AUNZ",2025-12-10,Melbourne,https://stripe.com/jobs/listing/account-executive-enterprise-aunz/7317016,Stripe,
"Account Executive, Enterprise - Public Sector (New Business)",2025-12-10,Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-public-sector-new-business/7430232,Stripe,
"Account Executive, Enterprise - Existing Business",2025-12-10,London,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/7411484,Stripe,
"Account Executive, Enterprise (New Business)",2025-12-10,Seattle,https://stripe.com/jobs/listing/account-executive-enterprise-new-business/6755526,Stripe,
"Account Executive, Enterprise (Existing Business)",2025-12-10,Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/6755272,Stripe,
"Account Executive, Enterprise (Existing Business)",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-enterprise-existing-business/7302943,Stripe,
"Account Executive, Enterprise",2025-12-10,Remote in Canada,https://stripe.com/jobs/listing/account-executive-enterprise/7099651,Stripe,
"Account Executive, Commercial - German Speaking",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-commercial-german-speaking/7343682,Stripe,
"Account Executive, Commercial - DACH",2025-12-10,Berlin,https://stripe.com/jobs/listing/account-executive-commercial-dach/7343686,Stripe,
"Account Executive, Commercial (New Business)",2025-12-10,Chicago,https://stripe.com/jobs/listing/account-executive-commercial-new-business/7368883,Stripe,
"Account Executive, Commercial (Existing Business)",2025-12-10,Chicago,https://stripe.com/jobs/listing/account-executive-commercial-existing-business/7306915,Stripe,
"Account Executive, CEE",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-cee/7429465,Stripe,
"Account Executive, Benelux - Startups (Dutch Speaking)",2025-12-10,Amsterdam,https://stripe.com/jobs/listing/account-executive-benelux-startups-dutch-speaking/7423968,Stripe,
"Account Executive, Benelux & Nordics - Existing Business",2025-12-10,Dublin HQ,https://stripe.com/jobs/listing/account-executive-benelux-nordics-existing-business/7403230,Stripe,
"Account Executive, AI Startups - Existing Business",2025-12-10,New York,https://stripe.com/jobs/listing/account-executive-ai-startups-existing-business/7350884,Stripe,
"Account Executive, AI Sales",2025-12-10,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-ai-sales/7374073,Stripe,
"Account Executive, AI Sales",2025-12-10,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-ai-sales/7374078,Stripe,
Account Executive -Mexico (SSMB),2025-12-10,Mexico City,https://stripe.com/jobs/listing/account-executive-mexico-ssmb/7363826,Stripe,
Account Executive - Existing Business,2025-12-10,Singapore,https://stripe.com/jobs/listing/account-executive-existing-business/7451633,Stripe,
Account Executive - Enterprise,2025-12-10,Mexico City,https://stripe.com/jobs/listing/account-executive-enterprise/7336750,Stripe,
Account Executive - ENT- Hunter DACH,2025-12-10,Berlin,https://stripe.com/jobs/listing/account-executive-ent-hunter-dach/7457704,Stripe,
APAC Product Marketing Lead,2025-12-10,Singapore,https://stripe.com/jobs/listing/apac-product-marketing-lead/6982328,Stripe,
APAC People Consultant,2025-12-10,Singapore,https://stripe.com/jobs/listing/apac-people-consultant/7277104,Stripe,
AML Quality Associate,2025-12-10,Bengaluru,https://stripe.com/jobs/listing/aml-quality-associate/7412623,Stripe,
AMER GTM Finance & Strategy Segment Lead,2025-12-10,New York,https://stripe.com/jobs/listing/amer-gtm-finance-strategy-segment-lead/6917719,Stripe,
"AI/ML Engineering Manager, Payment Intelligence",2025-12-10,Seattle,https://stripe.com/jobs/listing/ai-ml-engineering-manager-payment-intelligence/7286376,Stripe,
AEO & GEO Marketing Manager,2025-12-10,Remote in United States,https://stripe.com/jobs/listing/aeo-geo-marketing-manager/7453473,Stripe,
Workplace Lead,2025-12-10,"San Francisco, California",https://jobs.ashbyhq.com/notion/de9a48fa-4007-458b-89e2-2822154b04d8,Notion,
"Video Producer, Customer Education",2025-12-10,"New York, New York",https://jobs.ashbyhq.com/notion/11380fc1-5ce4-43d9-9a2b-3bb61af80ee1,Notion,
"Trust and Safety, Fraud and Abuse Analyst Intern (Winter or Summer 2026)",2025-12-10,"San Francisco, California; New York, New York",https://jobs.ashbyhq.com/notion/e2a437d2-c360-46fd-8c4e-3b5975364a12,Notion,
"Trust and Safety, Fraud and Abuse Analyst",2025-12-10,"San Francisco, California; New York, New York",https://jobs.ashbyhq.com/notion/9d3f458c-46f3-4fc7-a943-1f15a50c984a,Notion,
Technical Architect,2025-12-10,"San Francisco, California; New York, New York",https://jobs.ashbyhq.com/notion/10437426-14c8-4c45-8075-67959ce80393,Notion,
"Strategic Finance, Revenue",2025-12-10,"San Francisco, California",https://jobs.ashbyhq.com/notion/f25e3279-6bf2-4c45-a259-643906f00223,Notion,
"Startup Market Developer, South Korea (Contract)",2025-12-10,"Seoul, South Korea",https://jobs.ashbyhq.com/notion/87bd12a1-7d5a-42f7-a93c-5c0361a04e49,Notion,
"Solutions Engineering Manager, Japan",2025-12-10,"Tokyo, Japan",https://jobs.ashbyhq.com/notion/9ce09645-c200-4938-b98b-85e97aacd0f8,Notion,
Solutions Engineering Manager - Mid-Market,2025-12-10,"San Francisco, California; New York, New York",https://jobs.ashbyhq.com/notion/3c0141de-06fb-4186-9cd4-75395f0b5488,Notion,
"Solutions Engineer, Tokyo",2025-12-10,"Tokyo, Japan",https://jobs.ashbyhq.com/notion/e5d316fa-0857-4e4b-96ca-1f2710a96c95,Notion,
"Solutions Engineer, EMEA",2025-12-10,"Dublin, Ireland",https://jobs.ashbyhq.com/notion/72aa3c47-3b8a-4718-b359-0c486813527c,Notion,
"Solutions Engineer, EMEA",2025-12-10,"Dublin, Ireland",https://jobs.ashbyhq.com/notion/6ad34426-b980-436b-80c4-3634c00094ad,Notion,
Solutions Engineer - Mid-Market - AMER,2025-12-10,"San Francisco, California",https://jobs.ashbyhq.com/notion/435a91ac-055b-4e3b-b146-9e6777c264cf,Notion,
Solutions Engineer - Enterprise - AMER,2025-12-10,"San Francisco, California",https://jobs.ashbyhq.com/notion/b0c0afb3-f075-47c7-9a8e-428032b3bb20,Notion,
"Software Engineer, Search Quality and Ranking",2025-12-10,"New York, New York; San Francisco, California",https://jobs.ashbyhq.com/notion/948654d0-97ee-4a01-ac81-8d1faffd69c5,Notion,
"Software Engineer, Search Platform",2025-12-10,"New York, New York; San Francisco, California",https://jobs.ashbyhq.com/notion/4b10e40a-6136-4efe-8b05-cad43458e9e9,Notion,
"Software Engineer, Product Security",2025-12-10,"San Francisco, California; New York, New York",https://jobs.ashbyhq.com/notion/3c6dd26e-4ffb-44f2-87e2-598f49d74ab5,Notion,
"Software Engineer, Product Platform",2025-12-10,"San Francisco, California",https://jobs.ashbyhq.com/notion/c2a04cea-79ce-4ce5-a9ab-361767792268,Notion,
